Compared Result of  two versions
Number of New Class: 137
Number of Changed Class: 0
Number of Deleted Class: 0
new Added class 0 : org.compiere.model.view.VIEW_Ad_changelog_v: 
new Added class 1 : org.compiere.model.view.VIEW_Ad_field_v: 
new Added class 2 : org.compiere.model.view.VIEW_Ad_field_vt: 
new Added class 3 : org.compiere.model.view.VIEW_Ad_org_v: 
new Added class 4 : org.compiere.model.view.VIEW_Ad_tab_v: 
new Added class 5 : org.compiere.model.view.VIEW_Ad_tab_vt: 
new Added class 6 : org.compiere.model.view.VIEW_Ad_user_roles_v: 
new Added class 7 : org.compiere.model.view.VIEW_Ad_window_vt: 
new Added class 8 : org.compiere.model.view.VIEW_C_boeopen_v: 
new Added class 9 : org.compiere.model.view.VIEW_C_boe_v: 
new Added class 10 : org.compiere.model.view.VIEW_C_boe_vt: 
new Added class 11 : org.compiere.model.view.VIEW_C_dunning_header_v: 
new Added class 12 : org.compiere.model.view.VIEW_C_dunning_header_vt: 
new Added class 13 : org.compiere.model.view.VIEW_C_dunning_line_v: 
new Added class 14 : org.compiere.model.view.VIEW_C_dunning_line_vt: 
new Added class 15 : org.compiere.model.view.VIEW_C_invoiceallocation_v: 
new Added class 16 : org.compiere.model.view.VIEW_C_invoiceboeopen: 
new Added class 17 : org.compiere.model.view.VIEW_C_invoiceboeopen_v: 
new Added class 18 : org.compiere.model.view.VIEW_C_invoiceinout_v: 
new Added class 19 : org.compiere.model.view.VIEW_C_invoiceline_v: 
new Added class 20 : org.compiere.model.view.VIEW_C_invoiceopen_v: 
new Added class 21 : org.compiere.model.view.VIEW_C_invoice_candidate_v: 
new Added class 22 : org.compiere.model.view.VIEW_C_invoice_header_v: 
new Added class 23 : org.compiere.model.view.VIEW_C_invoice_header_vt: 
new Added class 24 : org.compiere.model.view.VIEW_C_invoice_linetax_v: 
new Added class 25 : org.compiere.model.view.VIEW_C_invoice_linetax_vt: 
new Added class 26 : org.compiere.model.view.VIEW_C_invoice_line_v: 
new Added class 27 : org.compiere.model.view.VIEW_C_invoice_line_vt: 
new Added class 28 : org.compiere.model.view.VIEW_C_invoice_subtotal_v: 
new Added class 29 : org.compiere.model.view.VIEW_C_invoice_subtotal_vt: 
new Added class 30 : org.compiere.model.view.VIEW_C_invoice_tax_v: 
new Added class 31 : org.compiere.model.view.VIEW_C_invoice_tax_vt: 
new Added class 32 : org.compiere.model.view.VIEW_C_invoice_v: 
new Added class 33 : org.compiere.model.view.VIEW_C_invoice_v1: 
new Added class 34 : org.compiere.model.view.VIEW_C_orderpendings: 
new Added class 35 : org.compiere.model.view.VIEW_C_order_header_v: 
new Added class 36 : org.compiere.model.view.VIEW_C_order_header_vt: 
new Added class 37 : org.compiere.model.view.VIEW_C_order_linetax_v: 
new Added class 38 : org.compiere.model.view.VIEW_C_order_linetax_vt: 
new Added class 39 : org.compiere.model.view.VIEW_C_payment_v: 
new Added class 40 : org.compiere.model.view.VIEW_C_payselection_check_v: 
new Added class 41 : org.compiere.model.view.VIEW_C_payselection_check_vt: 
new Added class 42 : org.compiere.model.view.VIEW_C_payselection_remittance_v: 
new Added class 43 : org.compiere.model.view.VIEW_C_payselection_remittance_vt: 
new Added class 44 : org.compiere.model.view.VIEW_C_project_details_v: 
new Added class 45 : org.compiere.model.view.VIEW_C_project_details_vt: 
new Added class 46 : org.compiere.model.view.VIEW_C_project_header_v: 
new Added class 47 : org.compiere.model.view.VIEW_C_project_header_vt: 
new Added class 48 : org.compiere.model.view.VIEW_C_rfqresponselineqty_v: 
new Added class 49 : org.compiere.model.view.VIEW_C_rfqresponselineqty_vt: 
new Added class 50 : org.compiere.model.view.VIEW_C_rfqresponseline_v: 
new Added class 51 : org.compiere.model.view.VIEW_C_rfqresponseline_vt: 
new Added class 52 : org.compiere.model.view.VIEW_C_rfqresponse_v: 
new Added class 53 : org.compiere.model.view.VIEW_C_rfqresponse_vt: 
new Added class 54 : org.compiere.model.view.VIEW_Gl_journalline_acct_v: 
new Added class 55 : org.compiere.model.view.VIEW_M_carding: 
new Added class 56 : org.compiere.model.view.VIEW_M_inoutconfirm_v: 
new Added class 57 : org.compiere.model.view.VIEW_M_inoutconfirm_vt: 
new Added class 58 : org.compiere.model.view.VIEW_M_inoutlinema_v: 
new Added class 59 : org.compiere.model.view.VIEW_M_inoutlinema_vt: 
new Added class 60 : org.compiere.model.view.VIEW_M_inout_candidate_v: 
new Added class 61 : org.compiere.model.view.VIEW_M_inout_header_v: 
new Added class 62 : org.compiere.model.view.VIEW_M_inout_header_vt: 
new Added class 63 : org.compiere.model.view.VIEW_M_inout_lineconfirm_v: 
new Added class 64 : org.compiere.model.view.VIEW_M_inout_lineconfirm_vt: 
