Compared Result of  two versions
Number of New Class: 19
Number of Changed Class: 0
Number of Deleted Class: 0
new Added class 0 : org.antlr.v4.runtime.BaseRecognizer: 
new Added class 1 : org.antlr.v4.codegen.src.Choice: 
new Added class 2 : org.antlr.v4.runtime.misc.LABitSet: 
new Added class 3 : org.antlr.v4.runtime.Lexer: 
new Added class 4 : org.antlr.v4.codegen.LexerFactory: 
new Added class 5 : org.antlr.v4.codegen.src.LL1Choice: 
new Added class 6 : org.antlr.v4.codegen.src.LL1Loop: 
new Added class 7 : org.antlr.v4.codegen.src.LL1OptionalBlockSingleAlt: 
new Added class 8 : org.antlr.v4.codegen.src.LL1PlusBlock: 
new Added class 9 : org.antlr.v4.codegen.src.LL1PlusBlockSingleAlt: 
new Added class 10 : org.antlr.v4.codegen.src.LL1StarBlock: 
new Added class 11 : org.antlr.v4.codegen.src.LL1StarBlockSingleAlt: 
new Added class 12 : org.antlr.v4.codegen.src.OptionalBlock: 
new Added class 13 : org.antlr.v4.codegen.OutputModelFactory: 
new Added class 14 : org.antlr.v4.runtime.pda.PDA: 
new Added class 15 : org.antlr.v4.codegen.PDABytecodeTriggers: 
new Added class 16 : org.antlr.v4.codegen.SourceGenTriggers: 
new Added class 17 : org.antlr.v4.codegen.src.Sync: 
new Added class 18 : org.antlr.v4.codegen.src.ThrowRecognitionException: 
testing relationship 
class 0  vs  class 2£º  r0:0  r1:0  r2:0  r3:2  r4:0  r5:2  r6:0  r7:0  r8:0  r9:0  r10:0  r11:13  r12:0  r13:4  r14:8  r15:0  r16:5  r17:0  
class 1  vs  class 13£º  r0:0  r1:0  r2:0  r3:0  r4:0  r5:0  r6:0  r7:0  r8:0  r9:0  r10:0  r11:0  r12:0  r13:0  r14:2  r15:0  r16:0  r17:0  
class 5  vs  class 1£º  r0:0  r1:1  r2:0  r3:0  r4:0  r5:0  r6:0  r7:0  r8:0  r9:0  r10:0  r11:0  r12:0  r13:0  r14:0  r15:0  r16:0  r17:0  
class 5  vs  class 13£º  r0:0  r1:0  r2:0  r3:0  r4:0  r5:0  r6:0  r7:0  r8:0  r9:0  r10:0  r11:0  r12:0  r13:0  r14:3  r15:0  r16:0  r17:0  
class 6  vs  class 1£º  r0:0  r1:1  r2:0  r3:0  r4:0  r5:0  r6:0  r7:0  r8:0  r9:0  r10:0  r11:0  r12:0  r13:0  r14:0  r15:0  r16:0  r17:0  
class 6  vs  class 13£º  r0:0  r1:0  r2:0  r3:0  r4:0  r5:0  r6:0  r7:0  r8:0  r9:0  r10:0  r11:0  r12:0  r13:0  r14:2  r15:0  r16:0  r17:0  
class 6  vs  class 17£º  r0:0  r1:0  r2:0  r3:0  r4:0  r5:0  r6:0  r7:0  r8:1  r9:0  r10:0  r11:0  r12:0  r13:0  r14:0  r15:0  r16:0  r17:0  
class 7  vs  class 5£º  r0:0  r1:1  r2:0  r3:0  r4:0  r5:0  r6:0  r7:0  r8:0  r9:0  r10:0  r11:0  r12:0  r13:0  r14:0  r15:0  r16:0  r17:0  
class 7  vs  class 13£º  r0:0  r1:0  r2:0  r3:0  r4:0  r5:0  r6:0  r7:0  r8:0  r9:0  r10:0  r11:0  r12:0  r13:0  r14:4  r15:0  r16:1  r17:0  
class 8  vs  class 6£º  r0:0  r1:1  r2:0  r3:0  r4:0  r5:0  r6:0  r7:0  r8:0  r9:0  r10:0  r11:0  r12:0  r13:0  r14:0  r15:0  r16:0  r17:0  
class 8  vs  class 13£º  r0:0  r1:0  r2:0  r3:0  r4:0  r5:0  r6:0  r7:0  r8:0  r9:0  r10:0  r11:0  r12:0  r13:0  r14:7  r15:0  r16:0  r17:0  
